rest_id,chain,state,southj,centralj,shore,pa1,pa2,period,empft,emppt,nmgrs,stwage,pentree,fte,time,post,treated
46,BK,PA,0,0,0,1,0,pre,30,15,3,NA,16.5,40.5,1,0,0
46,BK,PA,0,0,0,1,0,post,3.5,35,3,4.3,16.5,24,2,1,0
49,KFC,PA,0,0,0,1,0,pre,6.5,6.5,4,NA,13,13.75,1,0,0
49,KFC,PA,0,0,0,1,0,post,0,15,4,4.45,13,11.5,2,1,0
506,KFC,PA,0,0,0,1,0,pre,3,7,2,NA,10,8.5,1,0,0
506,KFC,PA,0,0,0,1,0,post,3,7,4,5,11,10.5,2,1,0
56,Wendys,PA,0,0,0,1,0,pre,20,20,4,5,12,34,1,0,0
56,Wendys,PA,0,0,0,1,0,post,0,36,2,5.25,12,20,2,1,0
61,Wendys,PA,0,0,0,1,0,pre,6,26,5,5.5,12,24,1,0,0
61,Wendys,PA,0,0,0,1,0,post,28,3,6,4.75,12,35.5,2,1,0
62,Wendys,PA,0,0,0,1,0,pre,0,31,5,5,12,20.5,1,0,0
62,Wendys,PA,0,0,0,1,0,post,NA,NA,NA,NA,12,NA,2,1,0
445,BK,PA,0,0,0,0,1,pre,50,35,3,5,18,70.5,1,0,0
445,BK,PA,0,0,0,0,1,post,15,18,5,4.75,18,29,2,1,0
451,BK,PA,0,0,0,0,1,pre,10,17,5,5,24,23.5,1,0,0
451,BK,PA,0,0,0,0,1,post,26,9,6,5,24,36.5,2,1,0
455,KFC,PA,0,0,0,0,1,pre,2,8,5,5.25,10,11,1,0,0
455,KFC,PA,0,0,0,0,1,post,3,12,2,5,11,11,2,1,0
458,KFC,PA,0,0,0,1,0,pre,2,10,2,5,10,9,1,0,0
458,KFC,PA,0,0,0,1,0,post,2,9,2,5,10.5,8.5,2,1,0
462,Roys,PA,0,0,0,0,1,pre,2.5,20,3,5,12.5,15.5,1,0,0
462,Roys,PA,0,0,0,0,1,post,1,25,4,4.75,12,17.5,2,1,0
468,BK,PA,0,0,0,0,1,pre,40,30,3,5,18,58,1,0,0
468,BK,PA,0,0,0,0,1,post,9,32,4,5,18,29,2,1,0
469,BK,PA,0,0,0,0,1,pre,8,27,5,5,18,26.5,1,0,0
469,BK,PA,0,0,0,0,1,post,7,39,4,4.5,18,30.5,2,1,0
470,BK,PA,0,0,0,0,1,pre,10.5,30,3,5.5,18,28.5,1,0,0
470,BK,PA,0,0,0,0,1,post,18,10,3,4.75,18,26,2,1,0
474,BK,PA,0,0,0,0,1,pre,6,9,3,5,12.5,13.5,1,0,0
474,BK,PA,0,0,0,0,1,post,5,20,3,4.5,13,18,2,1,0
481,KFC,PA,0,0,0,0,1,pre,5,17.5,3,5.25,10,16.75,1,0,0
481,KFC,PA,0,0,0,0,1,post,15,4,3,5,11,20,2,1,0
483,KFC,PA,0,0,0,0,1,pre,1,15,1,5,10,9.5,1,0,0
483,KFC,PA,0,0,0,0,1,post,4,13,3,4.75,11,13.5,2,1,0
487,Roys,PA,0,0,0,0,1,pre,10,6,2,5,11.5,15,1,0,0
487,Roys,PA,0,0,0,0,1,post,6,20,3,4.75,11,19,2,1,0
488,Roys,PA,0,0,0,0,1,pre,20,13,3,5,16,29.5,1,0,0
488,Roys,PA,0,0,0,0,1,post,5,15,3,4.75,15,15.5,2,1,0
489,Roys,PA,0,0,0,0,1,pre,5,23,2,5,14,18.5,1,0,0
489,Roys,PA,0,0,0,0,1,post,2,19,3,4.25,11.5,14.5,2,1,0
490,Roys,PA,0,0,0,0,1,pre,10,12.5,4,5,16,20.25,1,0,0
490,Roys,PA,0,0,0,0,1,post,2,18,3,5,16,14,2,1,0
493,Roys,PA,0,0,0,1,0,pre,27,12,3,5,16,36,1,0,0
493,Roys,PA,0,0,0,1,0,post,0,30,4,4.9,16,19,2,1,0
495,Roys,PA,0,0,0,0,1,pre,4,28,3,5,15,21,1,0,0
495,Roys,PA,0,0,0,0,1,post,8,20,3,5,16,21,2,1,0
496,Roys,PA,0,0,0,0,1,pre,10,15,3,5,16,20.5,1,0,0
496,Roys,PA,0,0,0,0,1,post,10,10,3,4.75,16,18,2,1,0
499,Wendys,PA,0,0,0,0,1,pre,0,28,5,5,12,19,1,0,0
499,Wendys,PA,0,0,0,0,1,post,0,31,5,5,12,20.5,2,1,0
509,Roys,PA,0,0,0,0,1,pre,3,16,3,5,16,14,1,0,0
509,Roys,PA,0,0,0,0,1,post,5.5,10,3,4.25,15.5,13.5,2,1,0
515,Roys,PA,0,0,0,0,1,pre,7,16,4,5,16,19,1,0,0
515,Roys,PA,0,0,0,0,1,post,5,19,3,4.75,16,17.5,2,1,0
37,BK,PA,0,0,0,1,0,pre,21,9,7,4.25,16.5,32.5,1,0,0
37,BK,PA,0,0,0,1,0,post,6,25,7,4.25,16.5,25.5,2,1,0
39,BK,PA,0,0,0,1,0,pre,1,32,2,4.25,17.5,19,1,0,0
39,BK,PA,0,0,0,1,0,post,5,15,3,NA,16.5,15.5,2,1,0
40,BK,PA,0,0,0,1,0,pre,10,20,7,4.25,16.5,27,1,0,0
40,BK,PA,0,0,0,1,0,post,7,25,6,4.25,17.5,25.5,2,1,0
41,BK,PA,0,0,0,1,0,pre,0,27,6,4.25,16.5,19.5,1,0,0
41,BK,PA,0,0,0,1,0,post,0,42,6,4.25,17.5,27,2,1,0
42,BK,PA,0,0,0,1,0,pre,17,4,5,4.5,16.5,24,1,0,0
42,BK,PA,0,0,0,1,0,post,0,22,5,4.25,16.5,16,2,1,0
45,BK,PA,0,0,0,1,0,pre,0,24,6,4.25,16,18,1,0,0
